0	0.6	1.3	0.23	0.75	0.8	1.2	3.7	3.4	1.6	0.4	1.8	2.3	1.3	1.9	1.8	3.2	1.4	
0.6	0	1.9	0.85	1.3	1.4	1.4	4.2	4.1	1.5	0.55	2.8	3.3	0.9	1.9	2.8	4.2	1.3	
1.3	1.9	0	1.1	0.7	0.65	1.1	2.3	2.4	1.2	1.4	1.1	1.3	2.5	1.4	1.1	2.2	1.7	
0.23	0.85	1.1	0	0.75	0.8	1	3.4	3.2	1.4	0.65	1.6	2	1.6	1.7	1.6	2.8	1.7	
0.75	1.3	0.7	0.75	0	0.05	1.2	2.9	2.8	1.4	0.8	1.9	2.1	2.1	1.7	1.8	2.9	0.95	
0.8	1.4	0.65	0.8	0.05	0	1.2	2.7	2.7	1.3	0.85	1.8	1.6	2.1	1.7	1.8	2.8	1	
1.2	1.4	1.1	1	1.2	1.2	0	2.7	2.7	1.3	1.5	1.6	1.2	4.2	2.1	1.9	2	2.6	
3.7	4.2	2.3	3.4	2.9	2.7	2.7	0	0.7	2.3	3.8	1.6	1.3	4.2	1.2	2	1.9	3.8	
3.4	4.1	2.4	3.2	2.8	2.7	2.7	0.7	0	2.1	3.6	1.5	1.1	4.7	2.1	1.9	2	3.8	
1.6	1.5	1.2	1.4	1.4	1.3	1.3	2.3	2.1	0	1.6	1.1	1.4	2	1.1	0.85	2.5	2.8	
0.4	0.55	1.4	0.65	0.8	0.85	1.5	3.8	3.6	1.6	0	2.2	2.5	1.3	2.9	2.2	3.6	1	
1.8	2.8	1.1	1.6	1.9	1.8	1.6	1.6	1.5	1.1	2.2	0	0.95	2.8	0.5	0.4	1.9	2.8	
2.3	3.3	1.3	2	2.1	1.6	1.2	1.3	1.1	1.4	2.5	0.95	0	3.2	1	0.95	1.2	2.6	
1.3	0.9	2.5	1.6	2.1	2.1	4.2	4.2	4.7	2	1.3	2.8	3.2	0	2.8	2.8	3.8	2.1	
1.9	1.9	1.4	1.7	1.7	1.7	2.1	1.2	2.1	1.1	2.9	0.5	1	2.8	0	0.5	2.8	3.1	
1.8	2.8	1.1	1.6	1.8	1.8	1.9	2	1.9	0.85	2.2	0.4	0.95	2.8	0.5	0	1.8	2.9	
3.2	4.2	2.2	2.8	2.9	2.8	2	1.9	2	2.5	3.6	1.9	1.2	3.8	2.8	1.8	0	3.8	
1.4	1.3	1.7	1.7	0.95	1	2.6	3.8	3.8	2.8	1	2.8	2.6	2.1	3.1	2.9	3.8	0	
																		
